ファイル,行,旧,新,形,場所,区分,適用,照合,旧の行の先頭
lib/prelude.kel,59,sample.kel:546-549,sample.kel:548-551,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"println(""test"") handle {"
lib/prelude.kel,81,:59,:59,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,type Unit  = {}                      // 空レコード。`()` も同じものを指す
lib/prelude.kel,81,:238-239,:238-239,接頭辞のない裸の :N(範囲),コメント,512 行以前(不変),不変,一致,newtype Option[A] = Some(A) | None
lib/prelude.kel,82,:464,:464,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/prelude.kel,82,:465,:465,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
lib/prelude.kel,82,:372,:372,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,"type class Add[A] { val add: (A, A) => A }"
lib/prelude.kel,125,sample.kel:239,sample.kel:239,sample.kel:N,コメント,512 行以前(不変),不変,一致,"newtype List[A]   = Cons(head: A, tail: List[A]) | Nil"
lib/prelude.kel,128,sample.kel:242-245,sample.kel:242-245,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// コンストラクタのフィールドは常に順序を持つ。ラベルは付けても付けなくてもよい。
lib/prelude.kel,153,sample.kel:464,sample.kel:464,sample.kel:N,コメント,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/prelude.kel,154,sample.kel:729,sample.kel:731,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"effect Async = { yield_: () => Unit, sleep: (Int64) => Unit "
lib/prelude.kel,155,sample.kel:465,sample.kel:465,sample.kel:N,コメント,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
lib/prelude.kel,159,sample.kel:534,sample.kel:536,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/prelude.kel,161,:724,:726,接頭辞のない裸の :N,コメント,513 行以降(+2),付け替え(本文),一致,// 並行処理は、ランタイムが提供するエフェクトで表す。利用者はこれを処理できない（スケジューラを利用者に書かせない）。
lib/prelude.kel,189,sample.kel:553,sample.kel:555,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"let capture[A, E](body: () => A @ {Print extends E}): {value"
lib/prelude.kel,200,sample.kel:720,sample.kel:722,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// 並列処理は純粋な計算に限るので、結果は決定的である。
lib/prelude.kel,202,sample.kel:594-597,sample.kel:596-599,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,//   __open  : (String) => Int32 @ Fs
lib/prelude.kel,205,sample.kel:465,sample.kel:465,sample.kel:N,コメント,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
lib/prelude.kel,208,sample.kel:802-804,sample.kel:804-806,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// 操作を持たないラベル（Heap、Blocking、Fs）は、どれも宣言が要らない。標準ライブラリが同じ宣言を持つ場
lib/prelude.kel,219,sample.kel:726-729,sample.kel:728-731,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// yield_ は、キャンセルが届く地点（配送点）である。キャンセルは協調的で、
lib/prelude.kel,224,sample.kel:464,sample.kel:464,sample.kel:N,コメント,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/prelude.kel,224,:465,:465,"一覧の2つめ以降(, :N)",コメント,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
lib/prelude.kel,224,:729,:731,"一覧の2つめ以降(, :N)",コメント,513 行以降(+2),付け替え(本文),一致,"effect Async = { yield_: () => Unit, sleep: (Int64) => Unit "
lib/prelude.kel,265,sample.kel:600-608,sample.kel:602-610,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"let with_file[A, E](path: String, body: () => A @ {File, Fs "
lib/prelude.kel,392,sample.kel:546-549,sample.kel:548-551,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"println(""test"") handle {"
lib/prelude.kel,448,sample.kel:546-549,sample.kel:548-551,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,"println(""test"") handle {"
lib/prelude.kel,461,sample.kel:449-450,sample.kel:449-450,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 標準ライブラリは、List と Option に Show のインスタンスを持つ（`type instance[A
lib/prelude.kel,469,sample.kel:410-420,sample.kel:410-420,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 前提付きインスタンスでは、型パラメータリストを `instance` の直後に書く。`instance` と `[
lib/prelude.kel,469,:421,:421,同じ行の二次参照(:N),コメント,512 行以前(不変),不変,一致,type instance[A: Eq] Eq[List[_]] {
lib/prims.ml,42,sample.kel:364-369,sample.kel:364-369,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 利用者定義の演算子は導入しない。組み込みの演算子が、標準ライブラリの型クラスのメソッドを呼ぶ。
lib/prims.ml,153,sample.kel:534,sample.kel:536,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/prims.ml,154,sample.kel:655,sample.kel:657,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// トップレベルに残せるエフェクトは、ランタイムが提供するもの（Console、Async、Fs、Blocking）だ
lib/prims.ml,169,sample.kel:594-597,sample.kel:596-599,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,//   __open  : (String) => Int32 @ Fs
lib/prims.ml,172,sample.kel:792,sample.kel:794,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"extern ""C"" let sqlite_step(s: Stmt): Int32 @ Blocking    // "
lib/prims.ml,176,sample.kel:535-537,sample.kel:537-539,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// 「ランタイムが実装を持つ」には 2 通りある。1 つは、操作の実装をランタイムが持つ場合（Console の wr
lib/prims.ml,193,sample.kel:534,sample.kel:536,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
lib/prims.ml,198,sample.kel:805,sample.kel:807,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// Blocking はトップレベルに残してよく、下の pinned で取り除くこともできる。
lib/prims.ml,200,sample.kel:656-657,sample.kel:658-659,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// Heap がこの 4 つに含まれないのは、Heap[h] がリージョン変数を引数に取るラベルであり、トップレベルに
lib/prims.ml,206,sample.kel:772,sample.kel:774,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,let crunch(xs: Array[Int32]): Int32 @ Async = run h {
lib/show.ml,203,sample.kel:195,sample.kel:195,sample.kel:N,コメント,512 行以前(不変),不変,一致,"let fst[A, R](t: {_item: A extends R}): A = t._item"
lib/show.ml,258,sample.kel:210,sample.kel:210,sample.kel:N,コメント,512 行以前(不変),不変,一致,let describe[R](v: #Even | #Odd | R): String =
lib/show.ml,263,sample.kel:59,sample.kel:59,sample.kel:N,コメント,512 行以前(不変),不変,一致,type Unit  = {}                      // 空レコード。`()` も同じものを指す
lib/show.ml,263,:167,:167,"一覧の2つめ以降(, :N)",コメント,512 行以前(不変),不変,一致,//   ()         ≡  {}                             空タプル = 空レコ
lib/syntax.ml,51,sample.kel:356,sample.kel:356,sample.kel:N,コメント,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
lib/syntax.ml,203,sample.kel:437,sample.kel:437,sample.kel:N,コメント,512 行以前(不変),不変,一致,type class Functor[F[_]] {
lib/syntax.ml,319,sample.kel:190-191,sample.kel:190-191,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 閉じた行なので、要素数（arity）は静的に検査する。
lib/syntax.ml,362,sample.kel:195,sample.kel:195,sample.kel:N,コメント,512 行以前(不変),不変,一致,"let fst[A, R](t: {_item: A extends R}): A = t._item"
lib/syntax.ml,363,:201-203,:201-203,接頭辞のない裸の :N(範囲),コメント,512 行以前(不変),不変,一致,// また、`_item` は普通のラベルなので、抽象化は完全ではない。
lib/syntax.ml,364,:210-215,:210-215,接頭辞のない裸の :N(範囲),コメント,512 行以前(不変),不変,一致,let describe[R](v: #Even | #Odd | R): String =
lib/syntax.ml,591,sample.kel:59,sample.kel:59,sample.kel:N,コメント,512 行以前(不変),不変,一致,type Unit  = {}                      // 空レコード。`()` も同じものを指す
lib/syntax.ml,591,:167,:167,"一覧の2つめ以降(, :N)",コメント,512 行以前(不変),不変,一致,//   ()         ≡  {}                             空タプル = 空レコ
lib/syntax.ml,613,sample.kel:792,sample.kel:794,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"extern ""C"" let sqlite_step(s: Stmt): Int32 @ Blocking    // "
lib/syntax.ml,613,:808,:810,"一覧の2つめ以降(, :N)",コメント,513 行以降(+2),付け替え(本文),一致,"let pinned[A, E](body: () => A @ {Blocking extends E}): A @ "
lib/syntax.ml,639,sample.kel:59,sample.kel:59,sample.kel:N,コメント,512 行以前(不変),不変,一致,type Unit  = {}                      // 空レコード。`()` も同じものを指す
lib/syntax.ml,639,:167,:167,"一覧の2つめ以降(, :N)",コメント,512 行以前(不変),不変,一致,//   ()         ≡  {}                             空タプル = 空レコ
lib/syntax.ml,682,sample.kel:365-369,sample.kel:365-369,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,//   +  Add.add      -  Sub.sub      *  Mul.mul      /  Div.
lib/syntax.ml,710,sample.kel:50-51,sample.kel:50-51,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータはこの規則の対象外で、文法上は大文字で始めても小文字で始めてもよい。慣習として、型は大文字
lib/syntax.ml,723,sample.kel:358-360,sample.kel:358-360,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型クラスのパラメータのカインドは、Type か、HKT の `F[_]` のように Type を取って Type 
lib/syntax.ml,725,sample.kel:361-362,sample.kel:361-362,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// エフェクトについて量化したいときは、クラスのパラメータではなく、メソッドの型パラメータとして行変数を取る
lib/syntax.ml,731,sample.kel:246-247,sample.kel:246-247,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型パラメータのカインドは、宣言群の中の型の本体での使われ方から推論する。使われ方がなければ Type とする。
lib/syntax.ml,733,sample.kel:872-874,sample.kel:874-876,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// TODO: 型パラメータのカインドを注記する構文。エイリアスには `type Request: EffectRow
lib/syntax.ml,901,sample.kel:278,sample.kel:278,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `{l = e extends r}` は e を先に、r を最後に評価する。
lib/syntax.ml,959,sample.kel:278,sample.kel:278,sample.kel:N,コメント,512 行以前(不変),不変,一致,// `{l = e extends r}` は e を先に、r を最後に評価する。
lib/syntax.ml,1029,sample.kel:658,sample.kel:660,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"perform write(capture(fn() => println(""test"")).output)"
lib/syntax.ml,1093,sample.kel:658,sample.kel:660,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"perform write(capture(fn() => println(""test"")).output)"
lib/unify.ml,228,sample.kel:391-395,sample.kel:391-395,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 導出は閉じた行にだけ適用する。行変数を含む型は比較できない。
lib/unify.ml,311,sample.kel:391-395,sample.kel:391-395,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 導出は閉じた行にだけ適用する。行変数を含む型は比較できない。
lib/unify.ml,374,sample.kel:620,sample.kel:622,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,perform write(text)                         // 最も左の File は d
lib/unify.ml,415,sample.kel:195,sample.kel:195,sample.kel:N,コメント,512 行以前(不変),不変,一致,"let fst[A, R](t: {_item: A extends R}): A = t._item"
lib/unify.ml,415,:201-203,:201-203,同じ行の二次参照(:N)(範囲),コメント,512 行以前(不変),不変,一致,// また、`_item` は普通のラベルなので、抽象化は完全ではない。
lib/unify.ml,417,:209-215,:209-215,接頭辞のない裸の :N(範囲),コメント,512 行以前(不変),不変,一致,// ヴァリアントも行多相である。`| R` は「他のケースもありうる」ことを表す
lib/unify.ml,828,sample.kel:356,sample.kel:356,sample.kel:N,コメント,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
lib/value.ml,126,sample.kel:273-275,sample.kel:273-275,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 関数は複数の引数を取り、1 個の値を返す。引数の個数（arity）は矢印型の一部である。
lib/value.ml,169,sample.kel:542-545,sample.kel:544-547,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// resume は継続を表す。resume は第二級（second-class）の値であり、節の外へ持ち出せない
lib/value.ml,366,sample.kel:109,sample.kel:109,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 絶対値が 1e16 未満の整数値は小数点表記にする（`1e5` ではなく `100000.0`）。それ以外は有効数
lib/value.ml,373,sample.kel:109-110,sample.kel:109-110,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 絶対値が 1e16 未満の整数値は小数点表記にする（`1e5` ではなく `100000.0`）。それ以外は有効数
lib/value.ml,376,sample.kel:111-113,sample.kel:111-113,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 小数点も指数もない表記には `.0` を加える（`1` は整数リテラルなので別の値になるため）。
lib/value.ml,382,sample.kel:110-112,sample.kel:110-112,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 最初に読み戻せた表記を使う。このとき指数部の `+` と先頭の `0` は除く（`1e16`、`1e-5`）。どち
lib/value.ml,401,sample.kel:182,sample.kel:182,sample.kel:N,コメント,512 行以前(不変),不変,一致,"// 値とパターンは、2 要素以上を `(a, b)`、1 要素を `(a,)`、空行を `()` と表示する。"
lib/value.ml,404,sample.kel:179-180,sample.kel:179-180,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// ラベル名は `_item` とする。処理系は、`_item` だけからなる閉じた行をタプルの表記に戻して表示する。
lib/value.ml,408,sample.kel:181-182,sample.kel:181-182,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,"// 型は、2 要素以上を `(A, B)`、1 要素を `(A,)`、空行を `{}` と表示する。"
lib/value.ml,410,sample.kel:183-185,sample.kel:183-185,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 型と値で表記が異なるのは空行だけである。空行は、型でも値でもパターンでも、`{}` と `()` のどちらで書いて
lib/value.ml,427,sample.kel:110,sample.kel:110,sample.kel:N,コメント,512 行以前(不変),不変,一致,// 最初に読み戻せた表記を使う。このとき指数部の `+` と先頭の `0` は除く（`1e16`、`1e-5`）。どち
test/errloc.t,25,sample.kel:356,sample.kel:356,sample.kel:N,cram の期待出力,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
test/eval.t,173,sample.kel:581,sample.kel:583,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// cancel 節から外へは脱出できない。例外に相当するものが起きるとその cancel 節は打ち切るが、脱出は抑制
test/extern_c.t,21,sample.kel:794,sample.kel:796,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// 関数がブロックするかどうかを知っているのはバインディングの作者なので、印は宣言側に付ける。
test/extern_c.t,38,sample.kel:792,sample.kel:794,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"extern ""C"" let sqlite_step(s: Stmt): Int32 @ Blocking    // "
test/fs_effect.t,1,sample.kel:465,sample.kel:465,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
test/fs_effect.t,1,:594-600,:596-602,"一覧の2つめ以降(, :N)(範囲)",cram の前書き,513 行以降(+2),付け替え(本文),一致,//   __open  : (String) => Int32 @ Fs
test/fs_effect.t,59,sample.kel:655,sample.kel:657,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// トップレベルに残せるエフェクトは、ランタイムが提供するもの（Console、Async、Fs、Blocking）だ
test/fs_effect.t,82,sample.kel:465,sample.kel:465,sample.kel:N,cram の期待出力,512 行以前(不変),不変,一致,effect Fs      = {}                            // ランタイムが提供する
test/fs_effect.t,82,:534,:536,"一覧の2つめ以降(, :N)",cram の期待出力,513 行以降(+2),promote,一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
test/fs_effect.t,82,sample.kel:600,sample.kel:602,sample.kel:N,cram の期待出力,513 行以降(+2),promote,一致,"let with_file[A, E](path: String, body: () => A @ {File, Fs "
test/kinds.t,6,sample.kel:246-247,sample.kel:246-247,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 型パラメータのカインドは、宣言群の中の型の本体での使われ方から推論する。使われ方がなければ Type とする。
test/kinds.t,7,sample.kel:252,sample.kel:252,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,// 型引数の読み方は、対応するパラメータのカインドによって変わる。カインドが EffectRow なら引数をエフェクト
test/kinds.t,8,sample.kel:507,sample.kel:507,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,newtype Callback[E] = Callback(() => Unit @ E)  // エフェクト付きのク
test/kinds.t,372,sample.kel:397-399,sample.kel:397-399,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// `derive structural` を書けるのは、クラスパラメータのカインドが Type のクラスだけである。
test/kinds.t,373,sample.kel:400-402,sample.kel:400-402,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 同じカインドの規則により、インスタンスの頭部のカインドは、クラスパラメータのカインドと一致しなければならない。
test/kinds.t,390,sample.kel:358-360,sample.kel:358-360,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 型クラスのパラメータのカインドは、Type か、HKT の `F[_]` のように Type を取って Type 
test/kinds.t,416,sample.kel:361-362,sample.kel:361-362,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// エフェクトについて量化したいときは、クラスのパラメータではなく、メソッドの型パラメータとして行変数を取る
test/kinds.t,448,sample.kel:252-255,sample.kel:252-255,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 型引数の読み方は、対応するパラメータのカインドによって変わる。カインドが EffectRow なら引数をエフェクト
test/kinds.t,784,sample.kel:467,sample.kel:467,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,// `@` の右側はエフェクト行である。`@ Print` は `@ {Print}` の略記
test/kinds.t,865,sample.kel:666,sample.kel:668,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// h のカインドは Type であり、行の位置（`@ h`）には書けない。リージョン専用のカインドは持たない（§14
test/nonfeatures.t,83,sample.kel:50-51,sample.kel:50-51,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 型パラメータはこの規則の対象外で、文法上は大文字で始めても小文字で始めてもよい。慣習として、型は大文字
test/nonfeatures.t,86,sample.kel:52,sample.kel:52,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,// ただし `run` が導入するリージョン変数は、文法上も小文字で始まる識別子に限る（`run h { … }`。`
test/numeric.t,94,sample.kel:111-113,sample.kel:111-113,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 小数点も指数もない表記には `.0` を加える（`1` は整数リテラルなので別の値になるため）。
test/parallel.t,30,sample.kel:720,sample.kel:722,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// 並列処理は純粋な計算に限るので、結果は決定的である。
test/premise.t,1,sample.kel:410-420,sample.kel:410-420,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 前提付きインスタンスでは、型パラメータリストを `instance` の直後に書く。`instance` と `[
test/premise.t,2,sample.kel:421,sample.kel:421,sample.kel:N,cram の前書き,512 行以前(不変),不変,一致,type instance[A: Eq] Eq[List[_]] {
test/pub.t,39,sample.kel:653,sample.kel:655,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,}
test/region.t,41,sample.kel:692,sample.kel:694,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// length が Heap[h] を要求するのは、長さが変わりうるからではない（長さを変える操作はない）。可変配列
test/region.t,132,sample.kel:690,sample.kel:692,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// この契約は 1 段だけに適用する。要素そのものが可変配列なら、取り出した配列の要素は、元の可変配列の要素と同じもの
test/region.t,149,sample.kel:691,sample.kel:693,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"// ただし要素の h は結果の型 Array[MutableArray[h, A]] に残るので、脱出検査がリージョン"
test/region.t,161,sample.kel:675,sample.kel:677,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"// 標準ライブラリ側のシグネチャ（`[h, A]` は型パラメータを示す。ここだけの表記で、型式の構文ではない）："
test/region.t,162,sample.kel:693,sample.kel:695,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"// MutableArray[h, A] は型注釈にも書ける（上の `[h, A]` はパラメータの並びを示す表記で、"
test/runtime_effects.t,1,sample.kel:534,sample.kel:536,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
test/runtime_effects.t,2,:724,:726,接頭辞のない裸の :N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// 並行処理は、ランタイムが提供するエフェクトで表す。利用者はこれを処理できない（スケジューラを利用者に書かせない）。
test/runtime_effects.t,16,sample.kel:464,sample.kel:464,sample.kel:N,cram の期待出力,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
test/runtime_effects.t,16,:534,:536,"一覧の2つめ以降(, :N)",cram の期待出力,513 行以降(+2),promote,一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
test/runtime_effects.t,29,sample.kel:464,sample.kel:464,sample.kel:N,cram の期待出力,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
test/runtime_effects.t,29,:534,:536,"一覧の2つめ以降(, :N)",cram の期待出力,513 行以降(+2),promote,一致,// ランタイムが実装を持つエフェクト（Console、Async、Fs）は、利用者が handle で処理できない。
test/runtime_effects.t,41,sample.kel:724,sample.kel:726,sample.kel:N,cram の期待出力,513 行以降(+2),promote,一致,// 並行処理は、ランタイムが提供するエフェクトで表す。利用者はこれを処理できない（スケジューラを利用者に書かせない）。
test/runtime_effects.t,73,sample.kel:658,sample.kel:660,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"perform write(capture(fn() => println(""test"")).output)"
test/spec_gaps.t,15,§14:868-869,§14:870-871,§N:M(範囲),cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: リージョンに専用のカインド（Region）を導入するか。現状の h はカインド Type なので、
test/spec_gaps.t,17,§14:872-874,§14:874-876,§N:M(範囲),cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: 型パラメータのカインドを注記する構文。エイリアスには `type Request: EffectRow
test/spec_gaps.t,18,§14:857,§14:859,§N:M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: Chan の標準ライブラリ側のシグネチャ。§11 の channel、send、recv は署名の形し
test/spec_gaps.t,19,:858,:860,接頭辞のない裸の :N,cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: モジュールの入れ子。名前解決と可視性の規則（外側の pub でない束縛が内側から見えるか）が未定である
test/spec_gaps.t,19,:859-864,:861-866,接頭辞のない裸の :N(範囲),cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: Ord[Float64]、Eq[Float64] と NaN。IEEE 754 に従うと、eq、lt、
test/spec_gaps.t,23,§14:870-871,§14:872-873,§N:M(範囲),cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: pub でない let で、「本体は純粋、呼び出しはどの行からでも可」を注釈で書く手段。
test/spec_gaps.t,51,§14:865,§14:867,§N:M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: 非有限値（NaN、無限大）のリテラルを追加するか。現状は、文字列化した表記 `nan`、`inf` を
test/spec_gaps.t,59,§14:866,§14:868,§N:M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: 整数算術の桁あふれ。現状は折り返すが、実行時エラーにする案も残っている（§2）。
test/spec_gaps.t,76,§14:867,§14:869,§N:M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// TODO: 不変配列を作る手段。現状は MutableArray.freeze だけで、リテラルも Array.n
test/tokens.t,447,sample.kel:40-42,sample.kel:40-42,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// ソースは UTF-8 で書く。BOM（U+FEFF）はソースのどこにあっても字句エラーにする。先頭だけの規則ではな
test/tokens.t,601,sample.kel:26-28,sample.kel:26-28,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,//   `@` の直後、EffectRow のエイリアスの右辺、effect 宣言の本体では、上の表のどれに分類されて
test/typecheck.t,157,sample.kel:391-395,sample.kel:391-395,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 導出は閉じた行にだけ適用する。行変数を含む型は比較できない。
test/typecheck_m6.t,74,sample.kel:648,sample.kel:650,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"type Request: EffectRow = {ReqId, Logger, Tracer}"
test/typecheck_m6.t,131,sample.kel:526-527,sample.kel:528-529,sample.kel:N-M,cram の前書き,513 行以降(+2),付け替え(本文),一致,//            操作節が 1 つでも修飾されているときは、その修飾先を対象とし、非修飾の節もそのエフェクトの
test/typecheck_m6.t,241,sample.kel:514-515,sample.kel:516-517,sample.kel:N-M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// 操作名は英小文字で始める。`return` と `cancel` は handle の節の名前と衝突するので、操作
test/typecheck_m7.t,109,sample.kel:356,sample.kel:356,sample.kel:N,cram の期待出力,512 行以前(不変),不変,一致,// ランク 2 多相と多パラメータ型クラスは、意図して除外する。代わりにエフェクトと行多相を使う。
test/typecheck_sample.t,73,sample.kel:546,sample.kel:548,sample.kel:N,cram の前書き,513 行以降(+2),付け替え(本文),一致,"println(""test"") handle {"
test/typecheck_sample.t,73,:658,:660,同じ行の二次参照(:N),cram の前書き,513 行以降(+2),付け替え(本文),一致,"perform write(capture(fn() => println(""test"")).output)"
test/verify_fixes.t,4,sample.kel:201-203,sample.kel:201-203,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// また、`_item` は普通のラベルなので、抽象化は完全ではない。
test/verify_fixes.t,4,:209-215,:209-215,同じ行の二次参照(:N)(範囲),cram の前書き,512 行以前(不変),不変,一致,// ヴァリアントも行多相である。`| R` は「他のケースもありうる」ことを表す
test/verify_fixes.t,25,sample.kel:664-665,sample.kel:666-667,sample.kel:N-M,cram の前書き,513 行以降(+2),付け替え(本文),一致,// `run h { … }` は、rigid なリージョン変数 h（単一化で他の型に置き換わらない変数）を導入し、H
test/verify_fixes.t,81,sample.kel:476-478,sample.kel:476-478,sample.kel:N-M,cram の前書き,512 行以前(不変),不変,一致,// 束縛（let、pub let、extern、型クラスのメソッド）の最外の矢印にラベル付きの行を書くと、
